"Popolazione residente al 1° Gennaio 2020 per sesso età e stato civile (n)"
"Provincia:","Trieste","Codice Provincia:","032"
"Codice comune","Denominazione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
"032001","Duino Auresina-Devin Nabrežina",0,21,0,0,0,,,,21,15,0,0,0,,,,15
"032001","Duino Auresina-Devin Nabrežina",1,21,0,0,0,,,,21,11,0,0,0,,,,11
"032001","Duino Auresina-Devin Nabrežina",2,29,0,0,0,,,,29,29,0,0,0,,,,29
"032001","Duino Auresina-Devin Nabrežina",3,25,0,0,0,,,,25,26,0,0,0,,,,26
"032001","Duino Auresina-Devin Nabrežina",4,18,0,0,0,,,,18,20,0,0,0,,,,20
"032001","Duino Auresina-Devin Nabrežina",5,28,0,0,0,,,,28,19,0,0,0,,,,19
"032001","Duino Auresina-Devin Nabrežina",6,27,0,0,0,,,,27,17,0,0,0,,,,17
"032001","Duino Auresina-Devin Nabrežina",7,24,0,0,0,,,,24,30,0,0,0,,,,30
"032001","Duino Auresina-Devin Nabrežina",8,28,0,0,0,,,,28,25,0,0,0,,,,25
"032001","Duino Auresina-Devin Nabrežina",9,35,0,0,0,,,,35,29,0,0,0,,,,29
"032001","Duino Auresina-Devin Nabrežina",10,34,0,0,0,,,,34,26,0,0,0,,,,26
"032001","Duino Auresina-Devin Nabrežina",11,32,0,0,0,,,,32,33,0,0,0,,,,33
"032001","Duino Auresina-Devin Nabrežina",12,39,0,0,0,,,,39,42,0,0,0,,,,42
"032001","Duino Auresina-Devin Nabrežina",13,39,0,0,0,,,,39,47,0,0,0,,,,47
"032001","Duino Auresina-Devin Nabrežina",14,35,0,0,0,,,,35,33,0,0,0,,,,33
"032001","Duino Auresina-Devin Nabrežina",15,41,0,0,0,,,,41,41,0,0,0,,,,41
"032001","Duino Auresina-Devin Nabrežina",16,36,0,0,0,,,,36,32,0,0,0,,,,32
"032001","Duino Auresina-Devin Nabrežina",17,34,0,0,0,,,,34,39,0,0,0,,,,39
"032001","Duino Auresina-Devin Nabrežina",18,39,0,0,0,,,,39,43,0,0,0,,,,43
"032001","Duino Auresina-Devin Nabrežina",19,38,0,0,0,,,,38,38,0,0,0,,,,38
"032001","Duino Auresina-Devin Nabrežina",20,40,0,0,0,,,,40,30,0,0,0,,,,30
"032001","Duino Auresina-Devin Nabrežina",21,31,0,0,0,,,,31,24,0,0,0,,,,24
"032001","Duino Auresina-Devin Nabrežina",22,46,0,0,0,,,,46,42,0,0,0,,,,42
"032001","Duino Auresina-Devin Nabrežina",23,30,0,0,0,,,,30,44,1,0,0,,,,45
"032001","Duino Auresina-Devin Nabrežina",24,36,0,0,0,,,,36,40,0,0,0,,,,40
"032001","Duino Auresina-Devin Nabrežina",25,33,1,0,0,,,,34,28,1,0,0,,,,29
"032001","Duino Auresina-Devin Nabrežina",26,40,0,0,0,,,,40,33,2,0,0,,,,35
"032001","Duino Auresina-Devin Nabrežina",27,34,0,0,0,,,,34,26,1,0,0,,,,27
"032001","Duino Auresina-Devin Nabrežina",28,33,1,0,0,,,,34,31,8,0,0,,,,39
"032001","Duino Auresina-Devin Nabrežina",29,31,2,0,0,,,,33,23,6,0,0,,,,29
"032001","Duino Auresina-Devin Nabrežina",30,28,1,0,0,,,,29,23,1,0,0,,,,24
"032001","Duino Auresina-Devin Nabrežina",31,23,8,0,0,,,,31,17,8,1,0,,,,26
"032001","Duino Auresina-Devin Nabrežina",32,17,6,0,0,,,,23,18,7,1,0,,,,26
"032001","Duino Auresina-Devin Nabrežina",33,20,7,0,0,,,,27,13,10,2,0,,,,25
"032001","Duino Auresina-Devin Nabrežina",34,24,6,1,0,,,,31,13,14,1,0,,,,28
"032001","Duino Auresina-Devin Nabrežina",35,15,5,0,0,,,,20,12,15,0,0,,,,27
"032001","Duino Auresina-Devin Nabrežina",36,16,6,1,0,,,,23,7,17,0,0,,,,24
"032001","Duino Auresina-Devin Nabrežina",37,18,17,1,0,,,,36,13,22,1,0,,,,36
"032001","Duino Auresina-Devin Nabrežina",38,25,6,2,0,,,,33,10,17,2,0,,,,29
"032001","Duino Auresina-Devin Nabrežina",39,24,16,1,0,,,,41,14,15,0,0,,,,29
"032001","Duino Auresina-Devin Nabrežina",40,18,17,1,0,,,,36,19,20,1,0,,,,40
"032001","Duino Auresina-Devin Nabrežina",41,19,14,3,0,,,,36,15,29,3,0,,,,47
"032001","Duino Auresina-Devin Nabrežina",42,30,22,1,0,,,,53,21,24,4,0,,,,49
"032001","Duino Auresina-Devin Nabrežina",43,18,16,3,0,,,,37,16,39,1,0,,,,56
"032001","Duino Auresina-Devin Nabrežina",44,22,35,4,0,,,,61,20,26,5,1,,,,52
"032001","Duino Auresina-Devin Nabrežina",45,34,30,6,0,,,,70,14,40,1,2,,,,57
"032001","Duino Auresina-Devin Nabrežina",46,24,32,2,1,,,,59,27,39,3,0,,,,69
"032001","Duino Auresina-Devin Nabrežina",47,36,43,3,0,,,,82,22,51,8,0,,,,81
"032001","Duino Auresina-Devin Nabrežina",48,27,34,4,0,,,,65,19,50,6,1,,,,76
"032001","Duino Auresina-Devin Nabrežina",49,24,40,2,0,,,,66,15,43,7,0,,,,65
"032001","Duino Auresina-Devin Nabrežina",50,26,39,3,0,,,,68,13,47,5,0,,,,65
"032001","Duino Auresina-Devin Nabrežina",51,18,59,5,1,,,,83,12,50,8,0,,,,70
"032001","Duino Auresina-Devin Nabrežina",52,26,44,5,1,,,,76,9,59,10,1,,,,79
